name,earnings_yield,eps_ttm,trailing_pe,pc_return_on_equity_ttm,pc_return_on_assets_ttm,market_cap,ent_val,pc_profit_margin,pc_operating_margin_ttm,total_cash,total_debt,q_revenue_growth,q_earnings_growth,
AIV,0.10277492291880781,3.15,9.73,26.55,1.51,4560000000,9890000000,51.81,17.22,142900000,4560000000,0.5,702.5
NOC,0.0594883997620464,13.22,16.81,26.44,4.71,53520000000,65780000000,6.64,8.77,2240000000,15450000000,6.9,None
APTV,0.08896797153024912,3.85,11.24,26.27,6.79,11050000000,15620000000,6.9,9.81,412000000,4790000000,1.1,6.9
EMR,0.07668711656441718,3.51,13.04,26.17,9.03,27970000000,32890000000,11.79,16.32,1640000000,6520000000,0.1,29.9
PCAR,0.11148272017837234,6.87,8.97,26.1,7.04,21340000000,27460000000,9.33,11.85,5170000000,11290000000,2.6,8.1
IT,0.027878449958182328,2.56,35.87,26.07,3.55,8180000000,11060000000,5.49,8.93,280840000,3160000000,10.5,19.4
NVDA,0.018532246108228317,4.52,53.96,25.95,11.62,149270000000,141020000000,25.61,26.07,10900000000,2640000000,40.8,68.0
DFS,0.3184713375796178,9.08,3.14,25.73,2.65,8740000000,28140000000,35.94,47.78,6920000000,25710000000,5.0,3.1
PFE,0.08525149190110827,2.87,11.73,25.62,5.75,186620000000,230620000000,31.44,29.07,9880000000,53470000000,9.2,None
JNJ,0.04196391103650861,5.63,23.83,25.36,8.48,353720000000,362200000000,18.42,25.68,19980000000,28680000000,1.7,31.8
SYF,0.42016806722689076,5.56,2.38,25.18,3.54,8130000000,16580000000,41.03,56.74,12150000000,19870000000,4.3,6.6
DG,0.04093327875562833,6.64,24.43,25.13,7.92,40860000000,46000000000,6.16,8.2,271110000,10870000000,8.3,5.5
PPG,0.04714757190004715,5.45,21.21,25.04,6.87,27300000000,23650000000,8.21,12.24,1280000000,5840000000,0.7,13.2
WM,0.04391743522178305,3.91,22.77,25.04,6.87,37710000000,51580000000,10.81,17.92,3560000000,13940000000,0.1,15.8
COST,0.029515938606847696,8.52,33.88,24.56,6.7,127460000000,127910000000,2.39,3.1,8710000000,8780000000,10.4,4.7
HUM,0.06891798759476224,20.1,14.51,24.39,7.43,38530000000,29840000000,4.17,4.99,15030000000,6340000000,15.0,44.2
GILD,0.05396654074473826,4.22,18.53,24.28,5.07,98470000000,99600000000,23.99,22.66,24670000000,25320000000,1.4,766.7
KMX,0.10604453870625663,5.15,9.43,24.28,3.9,7940000000,23460000000,4.17,5.84,56580000,15570000000,11.6,9.0
CPB,0.09671179883945842,4.79,10.34,24.25,5.66,14950000000,20980000000,17.95,14.4,58000000,6080000000,0.5,None
PKG,0.09115770282588878,7.34,10.97,24.25,9.7,7640000000,9530000000,10.0,15.39,767400000,2730000000,1.5,33.4
IPG,0.12376237623762376,1.68,8.08,24.11,4.17,5270000000,9840000000,7.61,12.91,1190000000,5020000000,0.8,0.8
CHD,0.036062026685899744,2.44,27.73,24.05,8.19,16630000000,18720000000,14.13,19.14,155700000,2250000000,6.5,1.1
UNH,0.062460961898813235,14.33,16.01,24.05,7.55,217690000000,252630000000,5.72,8.13,14250000000,44640000000,4.3,16.5
FFIV,0.06093845216331505,6.54,16.41,23.68,9.27,6520000000,5750000000,17.43,22.12,1160000000,384820000,4.7,24.7
HOG,0.17825311942959002,2.68,5.61,23.68,3.64,2300000000,9310000000,7.9,11.5,470650000,7520000000,6.4,626.5
JBHT,0.053134962805526036,4.77,18.82,23.64,8.96,9540000000,10920000000,5.63,8.26,35000000,1420000000,5.7,63.1
ALXN,0.11918951132300357,10.7,8.39,23.53,8.5,19940000000,19950000000,48.17,42.87,2750000000,2820000000,22.6,None
DOV,0.05959475566150178,4.61,16.78,23.37,7.76,11150000000,14010000000,9.5,14.82,397250000,3240000000,1.8,18.8
LUV,0.08326394671107411,4.27,12.01,23.37,7.07,27530000000,15730000000,10.25,13.14,4070000000,4000000000,0.5,21.6
ILMN,0.02558199027884369,6.74,39.09,23.24,9.0,38730000000,37200000000,28.28,29.01,3410000000,1880000000,9.8,13.8
CBRE,0.10615711252653928,3.77,9.42,22.89,5.9,11930000000,14750000000,5.37,5.86,971780000,4070000000,13.1,61.9
CINF,0.17035775127768313,12.1,5.87,22.57,6.67,11520000000,11670000000,25.2,31.87,767000000,885000000,203.1,None
PH,0.09082652134423251,10.52,11.01,22.51,7.1,14870000000,23690000000,9.63,14.54,1090000000,9900000000,0.7,34.4
CMG,0.020263424518743668,12.38,49.35,22.42,8.13,16970000000,18940000000,6.27,8.58,880780000,2850000000,17.6,126.2
VRTX,0.018925056775170323,4.51,52.84,22.37,10.32,61790000000,58650000000,28.27,28.87,3810000000,673170000,62.4,62.4
AMZN,0.012068549360366883,23.01,82.86,21.94,4.64,949120000000,971630000000,4.13,5.14,55020000000,77540000000,20.8,8.0
HAS,0.060496067755595885,4.05,16.53,21.91,4.87,9170000000,8750000000,11.03,11.66,4610000000,4190000000,2.8,949.8
AOS,0.06188118811881188,2.22,16.16,21.87,9.38,5810000000,5590000000,12.36,15.36,551400000,334700000,7.6,27.7
SIVB,0.15600624024961,19.91,6.41,21.8,1.93,7180000000,8990000000,38.56,54.84,2630000000,1010000000,39.7,48.1
SNA,0.12987012987012986,12.41,7.7,21.72,10.85,5220000000,6280000000,17.05,23.62,184400000,1220000000,0.4,2.5
COP,0.19455252918287938,6.4,5.14,21.63,6.61,35440000000,41250000000,21.56,22.3,10230000000,15830000000,21.4,61.5
RMD,0.02047921359819783,3.13,48.83,21.59,10.61,22120000000,23320000000,16.34,25.03,204100000,1400000000,13.1,28.8
DVA,0.08045052292839903,5.27,12.43,21.47,6.02,8230000000,19660000000,7.12,15.41,1110000000,11180000000,2.7,None
OSK,0.09302325581395349,7.83,10.75,21.45,8.77,5590000000,4970000000,6.6,8.98,264000000,992500000,6.0,30.6
REGN,0.037425149700598806,18.46,26.72,21.32,10.57,54280000000,51230000000,26.91,28.55,3210000000,737500000,12.5,3.5
GRMN,0.0697350069735007,4.99,14.34,21.27,10.23,13650000000,12310000000,25.35,25.17,1400000000,64000000,18.3,89.7
MMC,0.04268032437046521,3.29,23.43,21.25,7.34,40260000000,63170000000,11.16,20.13,1120000000,14920000000,1.8,3.8
ABC,0.03795066413662239,3.09,26.35,20.82,2.94,16750000000,18340000000,0.36,1.03,3230000000,4710000000,5.4,52.3
VRSK,0.019062142584826535,2.7,52.46,20.77,8.02,23100000000,26310000000,17.26,31.88,188200000,3400000000,10.2,9.6
RL,0.13908205841446453,8.48,7.19,20.55,6.74,4500000000,5410000000,10.4,11.42,1910000000,2820000000,1.4,178.4
ROP,0.05611672278338945,16.82,17.82,20.52,5.61,31800000000,36640000000,32.94,27.92,709700000,5550000000,1.3,238.8
ALL,0.1631321370309951,14.03,6.13,20.49,3.53,27240000000,32110000000,10.85,14.68,4590000000,7220000000,21.0,None
MKC,0.03546099290780142,5.21,28.2,20.22,5.98,19520000000,23940000000,13.13,18.6,170800000,4570000000,1.6,2.2
OKE,0.14184397163120568,3.07,7.05,19.97,5.94,8940000000,21870000000,12.58,18.73,20960000,12950000000,15.1,9.3
FB,0.041701417848206836,6.43,23.98,19.96,13.0,439480000000,395700000000,26.15,33.93,54860000000,11070000000,24.6,6.8
SWKS,0.0594883997620464,4.78,16.81,19.89,11.61,13620000000,12630000000,25.02,27.66,1190000000,160200000,7.8,9.8
PHM,0.19305019305019305,3.66,5.18,19.79,8.11,5100000000,7120000000,9.96,13.27,1230000000,3240000000,0.6,41.3
INCY,0.026082420448617628,2.05,38.34,19.75,8.67,17040000000,14990000000,20.7,19.51,2120000000,72080000,9.6,60.7
FL,0.24570024570024568,4.5,4.07,19.72,8.56,1910000000,4320000000,6.13,8.91,907000000,3320000000,2.2,15.2
DISCA,0.1349527665317139,2.48,7.41,19.69,6.19,9060000000,29510000000,18.57,29.46,1560000000,16370000000,2.3,77.0
DISCK,0.14705882352941177,2.48,6.8,19.69,6.19,9090000000,28470000000,18.57,29.46,1560000000,16370000000,2.3,77.0
PNR,0.07347538574577517,2.09,13.61,19.09,7.03,4760000000,5800000000,12.03,15.12,82500000,1110000000,2.0,5.3
ALK,0.2506265664160401,6.19,3.99,19.03,5.6,3030000000,4730000000,8.76,12.2,1520000000,3220000000,7.9,687.0
MGM,0.3663003663003663,3.88,2.73,18.98,2.77,5210000000,23460000000,16.44,11.38,2330000000,15540000000,4.7,None
WMT,0.043440486533449174,5.19,23.02,18.86,5.89,338400000000,408950000000,2.84,4.1,9460000000,73130000000,2.1,12.3
FMC,0.05107252298263534,3.62,19.58,18.83,6.74,9170000000,12300000000,10.36,23.22,339100000,3450000000,8.9,None
ECL,0.036192544335866814,5.33,27.63,18.79,7.17,42580000000,49220000000,10.46,15.75,186400000,6930000000,1.7,8.7
FBHS,0.08635578583765112,3.06,11.58,18.72,7.55,4950000000,6930000000,7.49,12.85,387900000,2360000000,3.5,22.2
HSIC,0.10030090270812436,4.65,9.97,18.67,5.85,6650000000,8460000000,6.96,7.34,106100000,998350000,7.9,148.1
WYNN,0.023713540431586435,8.15,42.17,18.56,4.15,5210000000,13230000000,1.86,13.59,2350000000,10600000000,2.0,None
ISRG,0.018412815319462345,9.61,54.31,18.46,9.78,60260000000,50510000000,30.8,30.71,3220000000,76400000,22.1,22.3
KR,0.06317119393556538,3.76,15.83,18.43,3.93,25120000000,45890000000,1.36,2.14,399000000,21200000000,2.1,26.3
AME,0.052603892688058915,3.75,19.01,18.41,7.73,16340000000,18900000000,16.7,22.18,393030000,2950000000,2.6,4.4
GOOG,0.04478280340349306,49.16,22.33,18.12,8.96,753270000000,650850000000,21.22,22.54,119680000000,15970000000,17.3,19.3
GOOGL,0.0449842555105713,49.16,22.23,18.12,8.96,752270000000,647290000000,21.22,22.54,119680000000,15970000000,17.3,19.3
DHI,0.14598540145985403,4.69,6.85,17.82,9.01,11770000000,14330000000,9.74,12.29,1550000000,3820000000,14.3,50.2
NSC,0.07199424046076314,10.25,13.89,17.82,6.83,36590000000,49130000000,24.1,35.87,580000000,13010000000,7.1,5.1
HRL,0.045351473922902494,1.82,22.05,17.8,9.39,21420000000,21230000000,10.38,12.35,646000000,250000000,0.6,19.0
SCHW,0.0794912559618442,2.67,12.58,17.46,1.25,43250000000,4060000000,34.55,45.8,51280000000,9330000000,2.4,8.9
NEM,0.08084074373484236,3.81,12.37,17.42,3.62,38090000000,43500000000,28.8,18.02,2480000000,6910000000,44.9,150.0
FOX,0.13245033112582782,2.86,7.55,17.37,8.6,13380000000,18670000000,15.22,19.93,1990000000,7320000000,5.4,650.0
FOXA,0.12820512820512822,2.86,7.8,17.37,8.6,13320000000,19100000000,15.22,19.93,1990000000,7320000000,5.4,650.0
BWA,0.1694915254237288,3.61,5.9,17.35,7.62,4400000000,5750000000,7.34,11.86,832000000,2040000000,0.6,4.3
GPC,0.07278020378457059,4.24,13.74,17.33,5.14,8470000000,12760000000,3.2,5.79,276990000,4550000000,2.2,95.2
NAVI,0.42372881355932207,2.56,2.36,17.31,0.6,1170000000,90580000000,34.35,41.66,1440000000,90840000000,39.1,138.9
TPR,0.18450184501845018,2.05,5.42,17.18,6.75,3060000000,5730000000,9.72,14.19,1170000000,3830000000,0.8,17.3
SYK,0.037009622501850484,5.48,27.02,16.98,7.38,55500000000,62520000000,13.99,22.76,4420000000,11480000000,8.8,64.9
APD,0.045599635202918376,8.51,21.93,16.78,7.29,41180000000,42830000000,21.1,25.29,2430000000,3710000000,1.4,36.9
CMCSA,0.08333333333333333,2.83,12.0,16.75,5.13,154580000000,263580000000,11.98,19.39,5500000000,111990000000,2.0,25.9
PSA,0.037565740045078885,7.29,26.62,16.74,8.6,33890000000,43020000000,52.14,52.62,409740000,1900000000,3.8,34.2
TIF,0.0346860908775581,4.45,28.83,16.74,7.75,15550000000,16900000000,12.23,16.82,897400000,2240000000,2.8,1.6
AMD,0.007043741635556808,0.3,141.97,16.66,7.45,49870000000,49040000000,5.07,9.38,1500000000,728000000,49.9,347.4
AYI,0.10319917440660475,7.75,9.69,16.47,8.66,2980000000,3100000000,8.61,12.25,266600000,422400000,10.5,28.4
CTSH,0.0758150113722517,3.29,13.19,16.41,10.87,23810000000,22100000000,10.98,16.61,3420000000,1710000000,3.8,39.0
BLL,0.026702269692923896,1.66,37.45,16.29,4.33,20250000000,26580000000,4.93,10.25,1800000000,8060000000,3.0,6.0
IP,0.1044932079414838,3.07,9.57,16.16,4.45,11560000000,21210000000,5.47,10.68,511000000,10200000000,7.6,47.8
CMA,0.2881844380403458,7.87,3.47,16.15,1.66,3840000000,6140000000,36.58,47.94,5470000000,7750000000,5.4,13.2
RJF,0.12820512820512822,7.37,7.8,16.04,2.68,8010000000,3500000000,13.46,18.07,8110000000,3540000000,7.0,7.6
ANTM,0.09082652134423251,18.47,11.01,15.95,5.65,51260000000,46740000000,4.61,6.46,25640000000,21080000000,17.3,119.8
